STATE,COUNTY,COUNTYFIPS,NRI_ID,POPULATION,AREA,RISK_RATNG,TOWERCOUNT,POP_DENS,TOWER_DENS
Georgia,COFFEE,69,C13069,43015,608.73388719,2.0,9,70.66306132317227,1.4784785584297349
Tennessee,COFFEE,31,C47031,57861,438.94105359,2.0,9,131.81952229523284,2.050389209756305
Alabama,COLBERT,33,C01033,57133,629.81203974,2.0,6,90.7143661838947,0.952665179674388
Alabama,CONECUH,35,C01035,11582,861.36955008,1.0,3,13.446029057939555,0.3482825692783515
Alabama,COOSA,37,C01037,10320,673.0768652400001,1.0,4,15.33257274608626,0.5942857653521806
Alabama,COVINGTON,39,C01039,37519,1054.31055951,3.0,9,35.586288747252304,0.8536384198013561
Mississippi,COVINGTON,31,C28031,18330,419.11960935,2.0,9,43.734532078867524,2.1473583672111713
Alabama,CRENSHAW,41,C01041,13179,617.11311675,1.0,4,21.355890261102605,0.6481793842052539
Alabama,CULLMAN,43,C01043,87660,762.64340763,2.0,6,114.94231658333388,0.7867372798311696
Alabama,DALE,45,C01045,49224,568.35772695,2.0,7,86.60742638998268,1.2316186915526546
Alabama,DALLAS,47,C01047,38341,1003.87731054,2.0,22,38.19291421117569,2.1915028628514257
Arkansas,DALLAS,39,C05039,6477,674.73497403,1.0,22,9.59932454859235,3.2605394483407704
Iowa,DALLAS,49,C19049,99673,597.57663303,2.0,22,166.79534387850828,3.681536188664113
Missouri,DALLAS,59,C29059,17058,548.32703016,2.0,22,31.109172194233306,4.012204175595807
Texas,DALLAS,113,C48113,2607218,917.7088260600002,4.0,22,2841.0078730457135,2.3972745358081182
Alabama,DEKALB,49,C01049,71379,786.52368522,2.0,18,90.75251176960354,2.2885515513706607
Georgia,DEKALB,89,C13089,763614,273.89807367000003,3.0,18,2787.949508984219,6.571787730674914
Illinois,DEKALB,37,C17037,100385,641.04921621,2.0,18,156.59484086650076,2.807896733174293
Indiana,DEKALB,33,C18033,43222,367.5318582,1.0,18,117.60068966995472,4.897534621394625
Missouri,DEKALB,63,C29063,10966,430.12052304,1.0,18,25.495179635918447,4.184873549576254
Tennessee,DEKALB,41,C47041,20068,332.30742597,1.0,18,60.38986321603206,5.416671008015633
Alabama,ELMORE,51,C01051,87755,663.67343913,2.0,21,132.22617454005206,3.1642067863268113
Idaho,ELMORE,39,C16039,28530,3132.77162991,2.0,21,9.106951725306459,0.6703329345651442
Alabama,ESCAMBIA,53,C01053,36706,962.76181872,3.0,12,38.12573295521933,1.246414197849485
Florida,ESCAMBIA,33,C12033,321367,1137.07483968,4.0,12,282.6260759497944,1.055339506358006
Alabama,ETOWAH,55,C01055,103320,554.1664986000001,2.0,8,186.44216180700028,1.443609460371663
Alabama,FAYETTE,57,C01057,16298,635.70941265,1.0,44,25.637499894897932,6.921401370570064
Georgia,FAYETTE,113,C13113,118998,201.52045797,2.0,44,590.5008414466537,21.834011515868134
Illinois,FAYETTE,51,C17051,21487,732.61440057,1.0,44,29.329207811479478,6.005887949481533
Indiana,FAYETTE,41,C18041,23396,217.33451415,1.0,44,107.64972186540304,20.245288776191373
Iowa,FAYETTE,65,C19065,19509,738.7230591,2.0,44,26.4090849198185,5.9562239810959765
Kentucky,FAYETTE,67,C21067,322301,288.41986797000004,3.0,44,1117.4715607092785,15.255537113197992
Ohio,FAYETTE,47,C39047,28951,411.12392997,1.0,44,70.41915561108928,10.702368992048385
Pennsylvania,FAYETTE,51,C42051,128759,806.78947791,2.0,44,159.5942975527545,5.453715151811679
Tennessee,FAYETTE,47,C47047,41886,713.36236764,2.0,44,58.716301700313224,6.167973248373638
Texas,FAYETTE,149,C48149,24410,969.4977095700002,2.0,44,25.177986249009837,4.538432588924346
West Virginia,FAYETTE,19,C54019,40383,675.09514917,1.0,44,59.81823458463467,6.5175997863554604
Alabama,FRANKLIN,59,C01059,31999,653.0492783100001,2.0,131,48.999365075188386,20.059741944591014
Arkansas,FRANKLIN,47,C05047,17065,626.3894707200001,2.0,131,27.243433674555106,20.913506073054318
Florida,FRANKLIN,37,C12037,12426,1435.95639993,2.0,131,8.653466080589732,9.122839663264566
Georgia,FRANKLIN,119,C13119,23415,268.95409398000004,1.0,131,87.05946674208717,48.70719685335647
Idaho,FRANKLIN,41,C16041,14177,674.4522064800001,1.0,131,21.020021676540246,19.423170202629414
Illinois,FRANKLIN,55,C17055,37777,435.82744725,2.0,131,86.67879969094811,30.057767317452953
Indiana,FRANKLIN,47,C18047,22784,394.99750953,1.0,131,57.68137633857552,33.16476606545555
Iowa,FRANKLIN,69,C19069,10019,588.40799472,1.0,131,17.027300937281865,22.263463646910118
Kansas,FRANKLIN,59,C20059,25975,582.96251091,2.0,131,44.556896050576604,22.47142784456414
Kentucky,FRANKLIN,73,C21073,51521,214.14846999,2.0,131,240.58542189167102,61.17251269930495
Louisiana,FRANKLIN,41,C22041,19763,641.54053275,2.0,131,30.805536035712,20.419598343764974
Maine,FRANKLIN,7,C23007,29452,1761.43941597,1.0,131,16.720416117054583,7.437099386575276
Massachusetts,FRANKLIN,11,C25011,70685,731.85131955,2.0,131,96.58382530957617,17.899810590018358
Mississippi,FRANKLIN,37,C28037,7653,572.48475453,1.0,131,13.368041575680001,22.882705428120737
Missouri,FRANKLIN,71,C29071,104457,940.08103098,2.0,131,111.11488962936248,13.934968974263558
Nebraska,FRANKLIN,61,C31061,2889,581.81906718,1.0,131,4.965461193980115,22.51559073767377
New York,FRANKLIN,33,C36033,47519,1714.6269695100002,1.0,131,27.713899784032794,7.640145776864614
North Carolina,FRANKLIN,69,C37069,68431,499.56491169,2.0,131,136.98119783573625,26.222818483554892
Ohio,FRANKLIN,49,C39049,1323446,549.11418315,3.0,131,2410.1471799690844,23.85660469531436
Pennsylvania,FRANKLIN,55,C42055,155896,780.69932538,2.0,131,199.68763252628494,16.779827488160908
Tennessee,FRANKLIN,51,C47051,42763,581.56344714,2.0,131,73.53110002064082,22.525487226583607
Texas,FRANKLIN,159,C48159,10335,297.74357145000005,1.0,131,34.71107688293298,43.99759140458849
Vermont,FRANKLIN,11,C50011,49919,696.02663793,1.0,131,71.71995621957848,18.821118741891425
Virginia,FRANKLIN,67,C51067,54455,718.79972736,1.0,131,75.7582368596629,18.22482605567136
Washington,FRANKLIN,21,C53021,96653,1277.7286236,2.0,131,75.64438818602983,10.25256831383393
Alabama,GENEVA,61,C01061,26621,584.7955779900001,2.0,6,45.52189004489226,1.0259995502398616
Alabama,GREENE,63,C01063,7714,666.5872972200001,1.0,61,11.57237773982674,9.151089475362085
Arkansas,GREENE,55,C05055,45653,585.22521564,2.0,61,78.00928391315821,10.423337609144308
Georgia,GREENE,133,C13133,18862,410.31186768,1.0,61,45.96991090374791,14.866740351652119
Illinois,GREENE,61,C17061,11985,551.80663473,1.0,61,21.719564872329382,11.054597056421297
Indiana,GREENE,55,C18055,30764,551.42237319,2.0,61,55.79026440662727,11.062300509700506
Iowa,GREENE,73,C19073,8769,577.0279741200001,1.0,61,15.196836883641934,10.571411220232159
Mississippi,GREENE,41,C28041,13480,725.95166163,2.0,61,18.56872945194859,8.402763327662196
Missouri,GREENE,77,C29077,298522,684.72345669,3.0,61,435.9745486784924,8.908706048260441
New York,GREENE,39,C36039,47864,664.6932087900001,2.0,61,72.00916056767163,9.177166126165739
North Carolina,GREENE,79,C37079,20451,269.90670291000004,2.0,61,75.77062658877114,22.600402043494395
Ohio,GREENE,57,C39057,167939,420.38632038,2.0,61,399.4873093115752,14.510462648941632
Pennsylvania,GREENE,59,C42059,35904,583.81239111,1.0,61,61.499208558653365,10.448562060154455
Tennessee,GREENE,59,C47059,70100,630.43869681,1.0,61,111.1924130842599,9.675801994493371
Virginia,GREENE,79,C51079,20552,158.17665396,1.0,61,129.93067867776003,38.56447741992683
Alabama,HALE,65,C01065,14753,663.12887901,1.0,12,22.24756071855155,1.8096029866645333
Texas,HALE,189,C48189,32413,1014.91887939,2.0,12,31.93654257321658,1.182360506212319
Alabama,HENRY,67,C01067,17074,574.04624589,2.0,46,29.743248252636,8.013291669329131
Georgia,HENRY,151,C13151,240522,329.83160067,2.0,46,729.2266705537558,13.946510857831202
Illinois,HENRY,73,C17073,49270,834.02438769,2.0,46,59.075011147411736,5.515426248794276
Indiana,HENRY,65,C18065,48893,398.81790663,2.0,46,122.59479623957827,11.534085916226454
Iowa,HENRY,87,C19087,20465,440.92425897,1.0,46,46.41386719752341,10.432630789572817
Kentucky,HENRY,103,C21103,15661,294.06089505,1.0,46,53.25767643241757,15.643018427247352
Missouri,HENRY,83,C29083,21887,739.71779271,1.0,46,29.58831086084286,6.218587744317501
Ohio,HENRY,69,C39069,27662,423.98813496,1.0,46,65.24239175374494,10.84936020776613
Tennessee,HENRY,79,C47079,32196,599.3920132200001,2.0,46,53.714429438322895,7.674443266750073
Virginia,HENRY,89,C51089,50948,388.2662199,2.0,46,131.2192443965945,11.847541105133363
Alabama,HOUSTON,69,C01069,107125,587.54968467,3.0,25,182.32500636974598,4.254959308512158
Georgia,HOUSTON,153,C13153,163485,383.73828831,2.0,25,426.03254608758226,6.514856807774143
Minnesota,HOUSTON,55,C27055,18807,574.5794776800001,1.0,25,32.73176423901823,4.351008167041292
Tennessee,HOUSTON,83,C47083,8275,209.06402283,1.0,25,39.58117656010475,11.958059383717448
Texas,HOUSTON,225,C48225,22033,1249.05855516,1.0,25,17.639685432663843,2.001507447086625
Alabama,JACKSON,71,C01071,52501,1138.16795079,2.0,129,46.12763868773423,11.334003906054582
Arkansas,JACKSON,67,C05067,16727,647.9183049300001,2.0,129,25.816526362543737,19.909917503247097
Colorado,JACKSON,57,C08057,1355,1637.32929672,1.0,129,0.8275671868294425,7.878683918892847
Florida,JACKSON,63,C12063,47249,964.20045111,3.0,129,49.00329588687325,13.378960759818515
Georgia,JACKSON,157,C13157,75573,346.54222395000005,2.0,129,218.0773215413538,37.22490106100676
Illinois,JACKSON,77,C17077,52912,608.30321643,3.0,129,86.98293642195266,21.20652932875698
Indiana,JACKSON,71,C18071,46428,519.0941000700001,2.0,129,89.4404309232934,24.850985588663846
Iowa,JACKSON,97,C19097,19475,656.1648533700001,2.0,129,29.68004137981219,19.6596936482453
Kansas,JACKSON,85,C20085,13228,664.66407618,1.0,129,19.901782680997005,19.408300316363878
Kentucky,JACKSON,109,C21109,12923,350.0089398,1.0,129,36.921914072778776,36.85620146551468
Louisiana,JACKSON,49,C22049,15021,586.29826398,1.0,129,25.62006562672067,22.002453004773095
Michigan,JACKSON,75,C26075,160309,730.79693778,2.0,129,219.36189345152897,17.651962307323505
Minnesota,JACKSON,63,C27063,9986,726.49602324,1.0,129,13.745429679662674,17.756463335434457
Mississippi,JACKSON,59,C28059,143149,1053.93670629,4.0,129,135.82314682245377,12.239824197232629
Missouri,JACKSON,95,C29095,716764,622.56471147,4.0,129,1151.30842913916,20.720737559217763
North Carolina,JACKSON,99,C37099,43081,499.86901146,1.0,129,86.18457838418611,25.806760779833358
Ohio,JACKSON,79,C39079,32646,425.78904108,1.0,129,76.67177134760088,30.296693327943743
Oklahoma,JACKSON,65,C40065,24734,812.36022075,2.0,129,30.44708414841471,15.879654949241923
Oregon,JACKSON,29,C41029,222969,2829.59209923,3.0,129,78.79899016564092,4.558960990706187
South Dakota,JACKSON,71,C46071,2801,1890.15045063,1.0,129,1.4818926181597913,6.82485354311364
Tennessee,JACKSON,87,C47087,11610,322.75051965,1.0,129,35.972056722295044,39.96895191366116
Texas,JACKSON,239,C48239,14955,865.52164374,3.0,129,17.278597373230376,14.904306660961005
West Virginia,JACKSON,35,C54035,27774,476.3904795,1.0,129,58.30091321125992,27.078626788552352
Wisconsin,JACKSON,53,C55053,21028,1010.57816769,1.0,129,20.8078906434979,12.76497000671119
Alabama,JEFFERSON,73,C01073,673766,1135.4982405,4.0,204,593.3659568713351,17.96568173546192
Arkansas,JEFFERSON,69,C05069,67108,925.27161363,3.0,204,72.52789236311243,22.04758008296319
Colorado,JEFFERSON,59,C08059,582825,781.87468086,3.0,204,745.4199685286379,26.09113774801049
Florida,JEFFERSON,65,C12065,14359,679.4121874800001,2.0,204,21.13444572323438,30.02595534187487
Georgia,JEFFERSON,163,C13163,15665,535.01407206,1.0,204,29.27960369282254,38.12983819556845
Idaho,JEFFERSON,51,C16051,30825,1116.8764074,1.0,204,27.599293704984028,18.26522600427167
Illinois,JEFFERSON,81,C17081,37082,589.69590771,2.0,204,62.883258159281894,34.59410135508739
Indiana,JEFFERSON,77,C18077,33067,366.67679139,2.0,204,90.18023713649688,55.6348273984497
Iowa,JEFFERSON,101,C19101,15635,441.29460609,1.0,204,35.429846148654974,46.2276214539534
Kansas,JEFFERSON,87,C20087,18344,562.29718818,1.0,204,32.62331803467565,36.279747487319185
Kentucky,JEFFERSON,111,C21111,782833,401.61616404,4.0,204,1949.2069047351185,50.79476830511286
Louisiana,JEFFERSON,51,C22051,440590,648.5184306900001,4.0,204,679.3793038869046,31.456314939723672
Mississippi,JEFFERSON,63,C28063,7245,532.58737194,1.0,204,13.603401773514458,38.303574351924766
Missouri,JEFFERSON,99,C29099,226703,670.99068036,3.0,204,337.86311290995764,30.402806770810866
Montana,JEFFERSON,43,C30043,12032,1676.16513363,1.0,204,7.1782903477671125,12.170638555057272
Nebraska,JEFFERSON,95,C31095,7240,581.47773957,1.0,204,12.45103553809978,35.083028311772864
New York,JEFFERSON,45,C36045,116438,1875.32329296,1.0,204,62.0895610037536,10.878124362120385
Ohio,JEFFERSON,81,C39081,65187,415.10514084,2.0,204,157.0373228047445,49.14417575922788
Oklahoma,JEFFERSON,67,C40067,5326,781.9903946400002,1.0,204,6.810825345817573,26.087276953563368
Oregon,JEFFERSON,31,C41031,24472,1809.91011318,2.0,204,13.521113464028806,11.271277977533003
Pennsylvania,JEFFERSON,65,C42065,44472,663.4313474100001,1.0,204,67.03331124405905,30.749225341311487
Tennessee,JEFFERSON,89,C47089,54645,317.48942979000003,1.0,204,172.11596630522266,64.25410765168894
Texas,JEFFERSON,245,C48245,256386,1123.88402061,4.0,204,228.1249624501679,18.151339129216982
Washington,JEFFERSON,31,C53031,32896,2209.98426792,2.0,204,14.885173834726507,9.230834941282245
West Virginia,JEFFERSON,37,C54037,57431,213.80702967,1.0,204,268.6113739508086,95.41313974328317
Wisconsin,JEFFERSON,55,C55055,84877,588.62471889,2.0,204,144.19543943050323,34.65705626238282
Alabama,LAMAR,75,C01075,13961,611.57669118,1.0,22,22.827881116697075,3.5972593980899337
Georgia,LAMAR,171,C13171,18488,187.71040587,1.0,22,98.49214226729646,11.72018136023649
Mississippi,LAMAR,73,C28073,64179,505.04266917,2.0,22,127.07639159573073,4.3560675845776275
Texas,LAMAR,277,C48277,50073,942.52288884,2.0,22,53.12656126752191,2.3341608209723446
Alabama,LAUDERDALE,77,C01077,93509,726.86446053,2.0,21,128.64709320334225,2.889121857008617
Mississippi,LAUDERDALE,75,C28075,72842,722.37311991,3.0,21,100.83708542349325,2.9070849151497185
Tennessee,LAUDERDALE,97,C47097,25078,507.95725188000006,2.0,21,49.37029623493678,4.134206160513886
Alabama,LAWRENCE,79,C01079,33012,724.44318726,2.0,58,45.56879073548678,8.006148863014156
Arkansas,LAWRENCE,75,C05075,16184,598.2935595,2.0,58,27.05026611606037,9.694237733140767
Illinois,LAWRENCE,101,C17101,15271,377.91571038,1.0,58,40.40848152262518,15.347337622370903
Indiana,LAWRENCE,93,C18093,44976,456.4911234,2.0,58,98.52546455890187,12.705613981715377
Kentucky,LAWRENCE,127,C21127,16265,424.30843299,1.0,58,38.332964267017836,13.669301736778571
Mississippi,LAWRENCE,77,C28077,12013,440.09254263,1.0,58,27.29653160721634,13.179046309985413
Missouri,LAWRENCE,109,C29109,37920,619.56984063,2.0,58,61.20375381965273,9.361333653849838
Ohio,LAWRENCE,87,C39087,58183,461.88171588,2.0,58,125.96948092900118,12.557327559393755
Pennsylvania,LAWRENCE,73,C42073,86035,365.43599469,1.0,58,235.43110489973395,15.871452413767152
South Dakota,LAWRENCE,81,C46081,25743,808.3899965700001,2.0,58,31.844778026976563,7.174754789902656
Tennessee,LAWRENCE,99,C47099,44119,624.22523358,2.0,58,70.67801432340809,9.291518009831748
Alabama,LEE,81,C01081,173871,622.0669903500001,2.0,51,279.5052666308063,8.19847392501977
Arkansas,LEE,77,C05077,8594,628.42713414,2.0,51,13.67541204559993,8.115499352171241
Florida,LEE,71,C12071,759922,1530.12078414,4.0,51,496.641838916731,3.333070207830972
Georgia,LEE,177,C13177,32818,365.44629225,1.0,51,89.80252555839141,13.955539044054975
Illinois,LEE,103,C17103,34125,735.8995776600002,2.0,51,46.37181625855805,6.930293418861423
Iowa,LEE,111,C19111,33538,544.32897714,2.0,51,61.613475321880784,9.369334013405451
Kentucky,LEE,129,C21129,7383,213.39129279,1.0,51,34.59841263188591,23.899756795695264
Mississippi,LEE,81,C28081,83269,457.75030392,2.0,51,181.9092183815409,11.141445360768817
North Carolina,LEE,105,C37105,63261,261.81976938,2.0,51,241.6204099094757,19.479048553426694
South Carolina,LEE,61,C45061,16515,415.38407937000005,2.0,51,39.758384637773744,12.277793621110874
Texas,LEE,287,C48287,17463,640.50765441,1.0,51,27.26431117530663,7.962434117509238
Virginia,LEE,105,C51105,22166,441.68258043,1.0,51,50.185361574414586,11.546753768362102
Alabama,LIMESTONE,83,C01083,101053,613.3169292900001,2.0,12,164.76473283883251,1.9565740691181759
Texas,LIMESTONE,293,C48293,22127,942.58452639,1.0,12,23.474817780792662,1.2730953738397068
Alabama,LOWNDES,85,C01085,10307,732.38999847,1.0,15,14.07310315751423,2.0480891371176235
Georgia,LOWNDES,185,C13185,118124,515.7298157700001,2.0,15,229.04241016904817,2.9084996719851364
Mississippi,LOWNDES,87,C28087,58845,521.67871197,2.0,15,112.79931239245963,2.8753329694738627
Alabama,MACON,87,C01087,19491,619.39842978,1.0,27,31.467629013723652,4.3590682026090946
Georgia,MACON,193,C13193,12076,410.10522579,1.0,27,29.446101245692688,6.583676164571899
Illinois,MACON,115,C17115,103930,591.66540264,2.0,27,175.65671329820245,4.563390030839475
Missouri,MACON,121,C29121,15152,820.5720775200001,1.0,27,18.465166455326642,3.2903873699433697
North Carolina,MACON,113,C37113,36973,524.92001874,1.0,27,70.4354924179663,5.143640752130176
Tennessee,MACON,111,C47111,25211,310.34056326,1.0,27,81.23656068407175,8.70011954492062
Alabama,MADISON,89,C01089,387825,820.91982609,3.0,126,472.4273767965759,15.348636492327353
Arkansas,MADISON,87,C05087,16496,845.55722472,2.0,126,19.50902850538889,14.901416050430408
Florida,MADISON,79,C12079,17964,722.91785631,2.0,126,24.849296283389517,17.42936613063393
Georgia,MADISON,195,C13195,30080,288.46848108,1.0,126,104.27482367357152,43.678948746243385
Idaho,MADISON,65,C16065,52900,478.0999154100001,1.0,126,110.646327880303,26.35432384294552
Illinois,MADISON,119,C17119,265727,747.5122336500002,3.0,126,355.4818075718859,16.855911425657773
Indiana,MADISON,95,C18095,130062,457.47660543,2.0,126,284.3030626183599,27.542392005284665
Iowa,MADISON,121,C19121,16548,567.8333271,1.0,126,29.14235429701322,22.18960987082225
Kentucky,MADISON,151,C21151,92690,447.73415817,2.0,126,207.02016656233445,28.141699198245917
Louisiana,MADISON,65,C22065,10010,657.1754190300001,2.0,126,15.23185394665993,19.17296300978173
Mississippi,MADISON,89,C28089,108943,749.53171293,3.0,126,145.34808617253844,16.81049618400434
Missouri,MADISON,123,C29123,12581,502.62278352,2.0,126,25.030699786213304,25.068501494816598
Montana,MADISON,57,C30057,8605,3639.92104203,1.0,126,2.364062269658727,3.4616135499941847
Nebraska,MADISON,119,C31119,35573,581.2600852500001,2.0,126,61.199798339326954,21.677043237160756
New York,MADISON,53,C36053,68007,667.97068962,1.0,126,101.8113534872141,18.863103120839
North Carolina,MADISON,115,C37115,21147,456.04201188,1.0,126,46.37072780383332,27.62903344816285
Ohio,MADISON,97,C39097,43789,471.34661964,1.0,126,92.90190737645406,26.731919727404627
Tennessee,MADISON,113,C47113,98781,564.26430138,3.0,126,175.0615797568888,22.329961277338747
Texas,MADISON,313,C48313,13446,477.20271729,1.0,126,28.176704601262266,26.40387312032609
Virginia,MADISON,113,C51113,13837,325.12557402000004,1.0,126,42.55894062381208,38.754256837467096
Alabama,MARENGO,91,C01091,19291,992.59166019,1.0,2,19.43498094302682,0.2014927265878059
Alabama,MARION,93,C01093,29281,751.07786442,2.0,111,38.985305501729144,14.778760666274836
Arkansas,MARION,89,C05089,16754,646.72786854,1.0,111,25.905795644499534,17.16332408105198
Florida,MARION,83,C12083,375566,1679.44755381,4.0,111,223.62472656439303,6.609316244986933
Georgia,MARION,197,C13197,7466,370.88991615,1.0,111,20.129962220327677,29.928017766627008
Illinois,MARION,121,C17121,37690,581.91889626,2.0,111,64.76847588595953,19.07482309191167
